"ci_type";"comp_type"
"TECHN. PLATF. - SINGLE";"Techn.Platform"
"VIRTUELE COMPUTER";"System"
"VIRTUELE STORAGE";"Storage"
"DB TOEP.COMP-INSTALL.";"Toep.Comp."
"TOEP.COMP. COLLAB. SYST.";"Toep.Comp."
"SW PROD INSTALL. OP SYST.INFRA.";"SW.Prod.Install."
"TECHN. PLATF. - CLUSTER";"Techn.Platform"
"WEB TOEP.COMP-INSTALL.";"Toep.Comp."
"RAPPORTEN";"Toep.Comp."
"ANDERE TOEP.COMP.INSTALL.";"Toep.Comp."
"FYSIEKE COMPUTER";"System"
"LIJN";"Lijn"
"JOB INSTALL. (CA7)";"Job"
"JOB INSTALL. (CRON)";"Job"
"COMPUTERZAALFACILITEIT";"Device"
"FYSIEKE DEVICE";"Device"
"FYSIEKE STORAGE";"Storage"
"FYSIEKE NETWERKCOMPONENT";"NetwerkComp."
"UITBREIDINGSMODULE";"Device"
"STORAGE CLUSTER";"Storage"
"COMPUTER CLUSTER";"System"
"NETWERK CAPACITEIT";"NetwerkComp."
"JOB INSTALL. (ANDERE)";"Job"
"JOB INSTALL. (WIN)";"Job"
"JOBCLUSTER INSTALL.";"Job"
"BEDR.PLATF. INSTALL.";"Applicatie"
"VIRTUELE NETWERKCOMPONENT";"NetwerkComp."
"EXTERNE INTERFACE INSTALL";"Lijn"
"CLIENT INSTALLATIE";"Applicatie"
